,XAVIER INSTITUTE OF MANAGEMENT ENTREPRENEURSHIP
3006,SCMS COCHIN SCHOOL OF BUSINESS
3007,GOVERNMENT ENGINEERING COLLEGE SECTOR-28
3008,BHARATH INSTITUTE OF SCIENCE AND TECHNOLOGY
3009,BHARATH INSTITUTE OF SCIENCE AND TECHNOLOGY
3010,BHARATH INSTITUTE OF SCIENCE AND TECHNOLOGY
3011,BHARATH INSTITUTE OF SCIENCE AND TECHNOLOGY
3012,A V PAREKH TECHNICAL INSTITUTE
3013,A V PAREKH TECHNICAL INSTITUTE
3014,A V PAREKH TECHNICAL INSTITUTE
3015,A V PAREKH TECHNICAL INSTITUTE
3016,NEHRU COLLEGE OF ENGINEERING AND RESEARCH CENTRE
3017,NEHRU COLLEGE OF ENGINEERING AND RESEARCH CENTRE
3018,ZAKIR HUSAIN COLLEGE OF ENGINEERING TECHNOLOGY
3019,ZAKIR HUSAIN COLLEGE OF ENGINEERING TECHNOLOGY
3020,ZAKIR HUSAIN COLLEGE OF ENGINEERING TECHNOLOGY
3021,ZAKIR HUSAIN COLLEGE OF ENGINEERING TECHNOLOGY
3022,ZAKIR HUSAIN COLLEGE OF ENGINEERING TECHNOLOGY
3023,ZAKIR HUSAIN COLLEGE OF ENGINEERING TECHNOLOGY
3024,ZAKIR HUSAIN COLLEGE OF ENGINEERING TECHNOLOGY
3025,ZAKIR HUSAIN COLLEGE OF ENGINEERING TECHNOLOGY
3026,ZAKIR HUSAIN COLLEGE OF ENGINEERING TECHNOLOGY
3027,ZAKIR HUSAIN COLLEGE OF ENGINEERING TECHNOLOGY
3028,ZAKIR HUSAIN COLLEGE OF ENGINEERING TECHNOLOGY
3029,JCT COLLEGE OF ENGINEERING AND TECHNOLOGY
3030,JCT COLLEGE OF ENGINEERING AND TECHNOLOGY
3031,JCT COLLEGE OF ENGINEERING AND TECHNOLOGY
3032,JCT COLLEGE OF ENGINEERING AND TECHNOLOGY
3033,SNS COLLEGE OF TECHNOLOGY
3034,SNS COLLEGE OF TECHNOLOGY
3035,SNS COLLEGE OF TECHNOLOGY
3036,SNS COLLEGE OF TECHNOLOGY
3037,SNS COLLEGE OF TECHNOLOGY
3038,ANIL NEERUKONDA INSTITUTE OF TECHNOLOGY SCIENCES
3039,ANIL NEERUKONDA INSTITUTE OF TECHNOLOGY SCIENCES
3040,ANIL NEERUKONDA INSTITUTE OF TECHNOLOGY SCIENCES
3041,ANIL NEERUKONDA INSTITUTE OF TECHNOLOGY SCIENCES
3042,ANIL NEERUKONDA INSTITUTE OF TECHNOLOGY SCIENCES
3043,ANIL NEERUKONDA INSTITUTE OF TECHNOLOGY SCIENCES
3044,ANIL NEERUKONDA INSTITUTE OF TECHNOLOGY SCIENCES
3045,FR C RODRIGUES INSTITUTE OF TECHNOLOGY
3046,FR C RODRIGUES INSTITUTE OF TECHNOLOGY
3047,FR C RODRIGUES INSTITUTE OF TECHNOLOGY
3048,FR C RODRIGUES INSTITUTE OF TECHNOLOGY
3049,SANJAY GANDHI MEMORIAL GOVERNMENT POLYTECHNIC
3050,SANJAY GANDHI MEMORIAL GOVERNMENT POLYTECHNIC
3051,K RAMAKRISHNAN COLLEGE OF TECHNOLOGY
3052,K RAMAKRISHNAN COLLEGE OF TECHNOLOGY
3053,K RAMAKRISHNAN COLLEGE OF TECHNOLOGY
3054,K RAMAKRISHNAN COLLEGE OF TECHNOLOGY
3055,GOVERNMENT POLYTECHNIC DAHOD
3056,GOVERNMENT POLYTECHNIC DAHOD
3057,GOVERNMENT POLYTECHNIC DAHOD
3058,INSTITUTE OF TECHNOLOGY MANAGEMENT
3059,INSTITUTE OF TECHNOLOGY MANAGEMENT
3060,REVA UNIVERSITY
3061,REVA UNIVERSITY
3062,REVA UNIVERSITY
3063,DR BR AMBEDKAR GOVERNMENT MODEL RESIDENTIAL POLYTECHNIC FOR WOMEN SC KARIMNAGAR
3064,DR BR AMBEDKAR GOVERNMENT MODEL RESIDENTIAL POLYTECHNIC FOR WOMEN SC KARIMNAGAR
3065,DR BR AMBEDKAR GOVERNMENT MODEL RESIDENTIAL POLYTECHNIC FOR WOMEN SC KARIMNAGAR
3066,RAJASTHAN TECHNICAL UNIVERSITY KOTA
3067,RAJASTHAN TECHNICAL UNIVERSITY KOTA
3068,RAJASTHAN TECHNICAL UNIVERSITY KOTA
3069,RAJASTHAN TECHNICAL UNIVERSITY KOTA
3070,RAJASTHAN TECHNICAL UNIVERSITY KOTA
3071,RAJASTHAN TECHNICAL UNIVERSITY KOTA
3072,RAJASTHAN TECHNICAL UNIVERSITY KOTA
3073,RAJASTHAN TECHNICAL UNIVERSITY KOTA
3074,MAHATMA GANDHI INSTITUTE OF TECHNOLOGY
3075,MAHATMA GANDHI INSTITUTE OF TECHNOLOGY
3076,MAHATMA GANDHI INSTITUTE OF TECHNOLOGY
3077,MAHATMA GANDHI INSTITUTE OF TECHNOLOGY
3078,MAHATMA GANDHI INSTITUTE OF TECHNOLOGY
3079,MAHATMA GANDHI INSTITUTE OF TECHNOLOGY
3080,MAHATMA GANDHI INSTITUTE OF TECHNOLOGY
3081,MAHATMA GANDHI INSTITUTE OF TECHNOLOGY
3082,RATHINAM TECHNICAL CAMPUS
3083,RATHINAM TECHNICAL CAMPUS
3084,RATHINAM TECHNICAL CAMPUS
3085,MCKV INSTITUTE OF ENGINEERING
3086,MCKV INSTITUTE OF ENGINEERING
3087,MCKV INSTITUTE OF ENGINEERING
3088,MCKV INSTITUTE OF ENGINEERING
3089,SANJAY GHODAWAT INSTITUTE
3090,SANJAY GHODAWAT INSTITUTE
3091,SANJAY GHODAWAT INSTITUTE
3092,SANJAY GHODAWAT INSTITUTE
3093,SRI MITTAPALLI COLLEGE OF ENGINEERING
3094,SRI MITTAPALLI COLLEGE OF ENGINEERING
3095,SRI SHAKTHI INSTITUTE OF ENGINEERING AND TECHNOLOGY
3096,SRI SHAKTHI INSTITUTE OF ENGINEERING AND TECHNOLOGY
3097,SRI SHAKTHI INSTITUTE OF ENGINEERING AND TECHNOLOGY
3098,SRI SHAKTHI INSTITUTE OF ENGINEERING AND TECHNOLOGY
3099,SRI SHAKTHI INSTITUTE OF ENGINEERING AND TECHNOLOGY
3100,SRI SHAKTHI INSTITUTE OF ENGINEERING AND TECHNOLOGY
3101,SRI SHAKTHI INSTITUTE OF ENGINEERING AND TECHNOLOGY
3102,SRI SHAKTHI INSTITUTE OF ENGINEERING AND TECHNOLOGY
3103,SYMBIOSIS INSTITUTE OF TECHNOLOGY
3104,VIGNAN S INSTITUTE OF ENGINEERING FOR WOME
3105,VIGNAN S INSTITUTE OF ENGINEERING FOR WOME
3106,VIGNAN S INSTITUTE OF ENGINEERING FOR WOME
3107,VIGNAN S INSTITUTE OF ENGINEERING FOR WOME
3108,AMAL JYOTHI COLLEGE OF ENGINEERING
3109,AMAL JYOTHI COLLEGE OF ENGINEERING
3110,AMAL JYOTHI COLLEGE OF ENGINEERING
3111,AMAL JYOTHI COLLEGE OF ENGINEERING
3112,AMAL JYOTHI COLLEGE OF ENGINEERING
3113,AMAL JYOTHI COLLEGE OF ENGINEERING
3114,AMAL JYOTHI COLLEGE OF ENGINEERING
3115,MEERUT INSTITUTE OF ENGINEERING TECHNOLOGY
3116,MEERUT INSTITUTE OF ENGINEERING TECHNOLOGY
3117,MEERUT INSTITUTE OF ENGINEERING TECHNOLOGY
3118,MEERUT INSTITUTE OF ENGINEERING TECHNOLOGY
3119,GOVERNMENT POLYTECHNIC PALANPUR
3120,GOVERNMENT POLYTECHNIC PALANPUR
3121,GOVERNMENT POLYTECHNIC PALANPUR
3122,BHARATIYA VIDYA BHAVANS SARDAR PATEL INSTITUTE OF TECHNOLOGY
3123,BHARATIYA VIDYA BHAVANS SARDAR PATEL INSTITUTE OF TECHNOLOGY
3124,BALAJI INSTITUTE OF TECHNOLOGY SCIENCE
3125,BALAJI INSTITUTE OF TECHNOLOGY SCIENCE
3126,BALAJI INSTITUTE OF TECHNOLOGY SCIENCE
3127,BALAJI INSTITUTE OF TECHNOLOGY SCIENCE
3128,BALAJI INSTITUTE OF TECHNOLOGY SCIENCE
3129,GMR INSTITUTE OF TECHNOLOGY
3130,GMR INSTITUTE OF TECHNOLOGY
3131,GMR INSTITUTE OF TECHNOLOGY
3132,GMR INSTITUTE OF TECHNOLOGY
3133,GMR INSTITUTE OF TECHNOLOGY
3134,GMR INSTITUTE OF TECHNOLOGY
3135,SRI KRISHNA COLLEGE OF ENGINEERING AND TECHNOLOGY
3136,SRI KRISHNA COLLEGE OF ENGINEERING AND TECHNOLOGY
3137,SRI KRISHNA COLLEGE OF ENGINEERING AND TECHNOLOGY
3138,SRI KRISHNA COLLEGE OF ENGINEERING AND TECHNOLOGY
3139,SRI KRISHNA COLLEGE OF ENGINEERING AND TECHNOLOGY
3140,SRI KRISHNA COLLEGE OF ENGINEERING AND TECHNOLOGY
3141,SRI KRISHNA COLLEGE OF ENGINEERING AND TECHNOLOGY
3142,INTERNATIONAL MANAGEMENT INSTITUTE BHUBANESWAR
3143,VIDYA JYOTHI INSTITUTE OF TECHNOLOGY
3144,VIDYA JYOTHI INSTITUTE OF TECHNOLOGY
3145,VIDYA JYOTHI INSTITUTE OF TECHNOLOGY
3146,VIDYA JYOTHI INSTITUTE OF TECHNOLOGY
3147,VIDYA JYOTHI INSTITUTE OF TECHNOLOGY
3148,VIDYA JYOTHI INSTITUTE OF TECHNOLOGY
3149,ANNA UNIVERSITY
3150,ANNA UNIVERSITY
3151,ANNA UNIVERSITY
3152,ANNA UNIVERSITY
3153,ANNA UNIVERSITY
3154,ANNA UNIVERSITY
3155,ANNA UNIVERSITY
3156,ANNA UNIVERSITY
3157,GOVERNMENT POLYTECHNIC COLLEGE PALAKKAD
3158,GOVERNMENT POLYTECHNIC COLLEGE PALAKKAD
3159,ENTREPRENEURSHIP DEVELOPMENT INSTITUTE OF INDIA
3160,SVR ENGINEERING COLLEGE
3161,SVR ENGINEERING COLLEGE
3162,AVINASHILINGAM INSTITUTE FOR HOME SCIENCE AND HIGHER EDUCATION FOR WOMEN DEEMED TO BE UNIVERSITY
3163,AVINASHILINGAM INSTITUTE FOR HOME SCIENCE AND HIGHER EDUCATION FOR WOMEN DEEMED TO BE UNIVERSITY
3164,S R M INSTITUTE OF SCIENCE AND TECHNOLOGY
3165,S R M INSTITUTE OF SCIENCE AND TECHNOLOGY
3166,S R M INSTITUTE OF SCIENCE AND TECHNOLOGY
3167,S R M INSTITUTE OF SCIENCE AND TECHNOLOGY
3168,S R M INSTITUTE OF SCIENCE AND TECHNOLOGY
3169,VIGNAN S INSTITUTE OF MANAGEMENT AND TECHNOLOGY FOR WOMEN
3170,VIGNAN S INSTITUTE OF MANAGEMENT AND TECHNOLOGY FOR WOMEN
3171,VIMAL JYOTHI ENGINEERING COLLEGE
3172,VIMAL JYOTHI ENGINEERING COLLEGE
3173,VIMAL JYOTHI ENGINEERING COLLEGE
3174,VIMAL JYOTHI ENGINEERING COLLEGE
3175,VIMAL JYOTHI ENGINEERING COLLEGE
3176,GOVERNMENT POLYTECHNIC GANDHINAGAR
3177,GOVERNMENT POLYTECHNIC GANDHINAGAR
3178,GOVERNMENT POLYTECHNIC GANDHINAGAR
3179,GOVERNMENT POLYTECHNIC GANDHINAGAR
3180,GOVERNMENT COLLEGE OF ENGINEERING AURANGABAD STATION ROAD CHHATRAPATI SAMBHAJINAGAR - 431005
3181,GOVERNMENT COLLEGE OF ENGINEERING AURANGABAD STATION ROAD CHHATRAPATI SAMBHAJINAGAR - 431005
3182,GOVERNMENT COLLEGE OF ENGINEERING AURANGABAD STATION ROAD CHHATRAPATI SAMBHAJINAGAR - 431005
3183,MAHARAJA AGRASEN INSTITUTE OF TECHNOLOGY
3184,MAHARAJA AGRASEN INSTITUTE OF TECHNOLOGY
3185,MAHARAJA AGRASEN INSTITUTE OF TECHNOLOGY
3186,P A C RAMASAMY RAJA POLYTECHNIC COLLEGE
3187,P A C RAMASAMY RAJA POLYTECHNIC COLLEGE
3188,BRCM COLLEGE OF ENGINEERING TECHNOLOGY
3189,BRCM COLLEGE OF ENGINEERING TECHNOLOGY
3190,SHRI G S INSTITUTE OF TECH SCIENCE
3191,SHRI G S INSTITUTE OF TECH SCIENCE
3192,SHRI G S INSTITUTE OF TECH SCIENCE
3193,SHRI G S INSTITUTE OF TECH SCIENCE
3194,SHRI G S INSTITUTE OF TECH SCIENCE
3195,SHRI G S INSTITUTE OF TECH SCIENCE
3196,SHRI G S INSTITUTE OF TECH SCIENCE
3197,SHRI G S INSTITUTE OF TECH SCIENCE
3198,SHRI G S INSTITUTE OF TECH SCIENCE
3199,SRI VENKATESWARA COLLEGE OF ENGINEERING AND TECHNOLOGY
3200,SRI VENKATESWARA COLLEGE OF ENGINEERING AND TECHNOLOGY
3201,SRI VENKATESWARA COLLEGE OF ENGINEERING AND TECHNOLOGY
3202,SRI VENKATESWARA COLLEGE OF ENGINEERING AND TECHNOLOGY
3203,SRI VENKATESWARA COLLEGE OF ENGINEERING AND TECHNOLOGY
3204,SRI VENKATESWARA COLLEGE OF ENGINEERING AND TECHNOLOGY
3205,MAHARASHTRA INSTITUTE OF TECHNOLOGY
3206,MAHARASHTRA INSTITUTE OF TECHNOLOGY
3207,RAMGARH ENGINEERING COLLEGE ESTD BY GOVT OF JHARKHAND RUN BY TECHNO INDIA UNDER PPP
3208,RAMGARH ENGINEERING COLLEGE ESTD BY GOVT OF JHARKHAND RUN BY TECHNO INDIA UNDER PPP
3209,FACULTY OF TECHNOLOGY ENGINEERING THE MAHARAJA SAYAJIRAO UNIVERSITY OF BARODA
3210,FACULTY OF TECHNOLOGY ENGINEERING THE MAHARAJA SAYAJIRAO UNIVERSITY OF BARODA
3211,SRI VENKATESWARA COLLEGE OF ENGINEERING
3212,SRI VENKATESWARA COLLEGE OF ENGINEERING
3213,SRI VENKATESWARA COLLEGE OF ENGINEERING
3214,SRI VENKATESWARA COLLEGE OF ENGINEERING
3215,SRI VENKATESWARA COLLEGE OF ENGINEERING
3216,SRI VENKATESWARA COLLEGE OF ENGINEERING
3217,SRI VENKATESWARA COLLEGE OF ENGINEERING
3218,MALINENI LAKSHMAIAH WOMEN S ENGINEERING COLLEGE
3219,MALINENI LAKSHMAIAH WOMEN S ENGINEERING COLLEGE
3220,GOVT POLYTECHNIC ANGUL
3221,GITA AUTONOMOUS COLLEGE BHUBANESWAR
3222,GITA AUTONOMOUS COLLEGE BHUBANESWAR
3223,GITA AUTONOMOUS COLLEGE BHUBANESWAR
3224,GITA AUTONOMOUS COLLEGE BHUBANESWAR
3225,GOVERNMENT POLYTECHNIC SAMBALPUR
3226,KARPAGAM COLLEGE OF ENGINEERING
3227,KARPAGAM COLLEGE OF ENGINEERING
3228,KARPAGAM COLLEGE OF ENGINEERING
3229,KARPAGAM COLLEGE OF ENGINEERING
3230,GOVERNMENT POLYTECHNIC KORAPUT
3231,INDIAN INSTITUTE OF CARPET TECHNOLOGY
3232,ORISSA SCHOOL OF MINING ENGINEERING
3233,B P PODDAR INSTITUTE OF MANAGEMENT TECHNOLOGY
3234,B P PODDAR INSTITUTE OF MANAGEMENT TECHNOLOGY
3235,B P PODDAR INSTITUTE OF MANAGEMENT TECHNOLOGY
3236,B P PODDAR INSTITUTE OF MANAGEMENT TECHNOLOGY
3237,CENTRE FOR DEVELOPMENT OF ADVANCED COMPUTING NOIDA
3238,HRH THE PRINCE OF WALES INSTITUTE OF ENGG TECH
3239,HRH THE PRINCE OF WALES INSTITUTE OF ENGG TECH
3240,HRH THE PRINCE OF WALES INSTITUTE OF ENGG TECH
3241,SATHYABAMA INSTITUTE OF SCIENCE AND TECHNOLOGY
3242,SATHYABAMA INSTITUTE OF SCIENCE AND TECHNOLOGY
3243,SATHYABAMA INSTITUTE OF SCIENCE AND TECHNOLOGY
3244,SATHYABAMA INSTITUTE OF SCIENCE AND TECHNOLOGY
3245,SATHYABAMA INSTITUTE OF SCIENCE AND TECHNOLOGY
3246,SATHYABAMA INSTITUTE OF SCIENCE AND TECHNOLOGY
3247,SATHYABAMA INSTITUTE OF SCIENCE AND TECHNOLOGY
3248,SATHYABAMA INSTITUTE OF SCIENCE AND TECHNOLOGY
3249,SATHYABAMA INSTITUTE OF SCIENCE AND TECHNOLOGY
3250,SATHYABAMA INSTITUTE OF SCIENCE AND TECHNOLOGY
3251,SATHYABAMA INSTITUTE OF SCIENCE AND TECHNOLOGY
3252,ASIAN BUSINESS SCHOOL
3253,CHRIST DEEMED TO BE UNIVERSITY MAIN CAMPUS
3254,CHRIST DEEMED TO BE UNIVERSITY MAIN CAMPUS
3255,GRAPHIC ERA DEEMED TO BE UNIVERSITY
3256,GRAPHIC ERA DEEMED TO BE UNIVERSITY
3257,GRAPHIC ERA DEEMED TO BE UNIVERSITY
3258,GRAPHIC ERA DEEMED TO BE UNIVERSITY
3259,GRAPHIC ERA DEEMED TO BE UNIVERSITY
3260,GRAPHIC ERA DEEMED TO BE UNIVERSITY
3261,GRAPHIC ERA DEEMED TO BE UNIVERSITY
3262,GOVERNMENT POLYTECHNIC AHMEDABAD
3263,GOVERNMENT POLYTECHNIC AHMEDABAD
3264,GOVERNMENT POLYTECHNIC AHMEDABAD
3265,GOVERNMENT POLYTECHNIC AHMEDABAD
3266,GOVERNMENT POLYTECHNIC AHMEDABAD
3267,GOVERNMENT POLYTECHNIC AHMEDABAD
3268,RAJAGOPAL POLYTECHNIC COLLEGE
3269,RAJAGOPAL POLYTECHNIC COLLEGE
3270,RAJAGOPAL POLYTECHNIC COLLEGE
3271,RAJAGOPAL POLYTECHNIC COLLEGE
3272,BHUBANANANDA ORISSA SCHOOL OF ENGINEERING
3273,BHUBANANANDA ORISSA SCHOOL OF ENGINEERING
3274,BHUBANANANDA ORISSA SCHOOL OF ENGINEERING
3275,DAYALBAGH EDUCATIONAL INSTITUTE
3276,DAYALBAGH EDUCATIONAL INSTITUTE
3277,BHAI GURDAS INSTITUTE OF ENGINEERING TECHNOLOGY
3278,BHAI GURDAS INSTITUTE OF ENGINEERING TECHNOLOGY
3279,BANSAL INSTITUTE OF ENGINEERING AND TECNOLOGY
3280,BANSAL INSTITUTE OF ENGINEERING AND TECNOLOGY
3281,G L BAJAJ INSTITUTE OF MANAGEMENT AND RESEARCH
3282,SILICON INSTITUTE OF TECHNOLOGY
3283,SILICON INSTITUTE OF TECHNOLOGY
3284,SILICON INSTITUTE OF TECHNOLOGY
3285,ADVANCED TECHNICAL TRAINING CENTRE
3286,ADVANCED TECHNICAL TRAINING CENTRE
3287,ADVANCED TECHNICAL TRAINING CENTRE
3288,ADVANCED TECHNICAL TRAINING CENTRE
3289,UJJAIN ENGINEERING COLLEGE FORMERLY GOVT ENGG COLLEGE ESTB IN 1966
3290,UJJAIN ENGINEERING COLLEGE FORMERLY GOVT ENGG COLLEGE ESTB IN 1966
3291,MALLA REDDY COLLEGE OF ENGINEERING FOR WOMEN
3292,MALLA REDDY COLLEGE OF ENGINEERING FOR WOMEN
3293,MEGHNAD SAHA INSTITUTE OF TECHNOLOGY
3294,MEGHNAD SAHA INSTITUTE OF TECHNOLOGY
3295,MEGHNAD SAHA INSTITUTE OF TECHNOLOGY
3296,MEGHNAD SAHA INSTITUTE OF TECHNOLOGY
3297,MEGHNAD SAHA INSTITUTE OF TECHNOLOGY
3298,KIT-KALAIGNARKARUNANIDHI INSTITUTE OF TECHNOLOGY
3299,KIT-KALAIGNARKARUNANIDHI INSTITUTE OF TECHNOLOGY
3300,KIT-KALAIGNARKARUNANIDHI INSTITUTE OF TECHNOLOGY
3301,ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY WITHIN AHMEDABAD MUNICIPAL CORPORATION LIMIT
3302,ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY WITHIN AHMEDABAD MUNICIPAL CORPORATION LIMIT
3303,ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY WITHIN AHMEDABAD MUNICIPAL CORPORATION LIMIT
3304,SRI SAI RAM INSTITUTE OF TECHNOLOGY
3305,SRI SAI RAM INSTITUTE OF TECHNOLOGY
3306,SRI SAI RAM INSTITUTE OF TECHNOLOGY
3307,SRI SAI RAM INSTITUTE OF TECHNOLOGY
3308,SRI SAI RAM INSTITUTE OF TECHNOLOGY
3309,JAMIA MILLIA ISLAMIA A CENTRAL UNIVERSITY
3310,JAMIA MILLIA ISLAMIA A CENTRAL UNIVERSITY
3311,JAMIA MILLIA ISLAMIA A CENTRAL UNIVERSITY
3312,JAMIA MILLIA ISLAMIA A CENTRAL UNIVERSITY
3313,JAMIA MILLIA ISLAMIA A CENTRAL UNIVERSITY
3314,JAMIA MILLIA ISLAMIA A CENTRAL UNIVERSITY
3315,JAMIA MILLIA ISLAMIA A CENTRAL UNIVERSITY
3316,I T S SCHOOL OF MANAGEMENT
3317,SOPHITORIUM ENGINEERING COLLEGE
3318,FACULTY OF ENGINEERING
3319,ST VINCENT PALLOTTI COLLEGE OF ENGG TECHNOLOGY NAGPUR
3320,ST VINCENT PALLOTTI COLLEGE OF ENGG TECHNOLOGY NAGPUR
3321,ST VINCENT PALLOTTI COLLEGE OF ENGG TECHNOLOGY NAGPUR
3322,ST VINCENT PALLOTTI COLLEGE OF ENGG TECHNOLOGY NAGPUR
3323,ST VINCENT PALLOTTI COLLEGE OF ENGG TECHNOLOGY NAGPUR
3324,MANAV RACHNA UNIVERSITY
3325,KALINGA INSTITUE OF INDUSTRIAL TECHNOLOGY
3326,KALINGA INSTITUE OF INDUSTRIAL TECHNOLOGY
3327,KALINGA INSTITUE OF INDUSTRIAL TECHNOLOGY
3328,KALINGA INSTITUE OF INDUSTRIAL TECHNOLOGY
3329,KALINGA INSTITUE OF INDUSTRIAL TECHNOLOGY
3330,KALINGA INSTITUE OF INDUSTRIAL TECHNOLOGY
3331,KALINGA INSTITUE OF INDUSTRIAL TECHNOLOGY
3332,ACADEMY OF MARITIME EDUCATION AND TRAINING DEEMED TO BE UNIVERSITY
3333,ACADEMY OF MARITIME EDUCATION AND TRAINING DEEMED TO BE UNIVERSITY
3334,ACADEMY OF MARITIME EDUCATION AND TRAINING DEEMED TO BE UNIVERSITY
3335,SHRI GURU GOBIND SINGHJI INSTITUTE OF ENGINEERING AND TECHNOLOGY
3336,SHRI GURU GOBIND SINGHJI INSTITUTE OF ENGINEERING AND TECHNOLOGY
3337,SHRI GURU GOBIND SINGHJI INSTITUTE OF ENGINEERING AND TECHNOLOGY
3338,GOVERNMENT ENGINEERING COLLEGE MODASA
3339,BUNDELKHAND INSTITUTE OF ENGINEERING TECHNOLOGY JHANSI
3340,BUNDELKHAND INSTITUTE OF ENGINEERING TECHNOLOGY JHANSI
3341,BUNDELKHAND INSTITUTE OF ENGINEERING TECHNOLOGY JHANSI
3342,SANT GAJANAN MAHARAJ RURAL POLYTECHNIC
3343,SANT GAJANAN MAHARAJ RURAL POLYTECHNIC
3344,SANT GAJANAN MAHARAJ RURAL POLYTECHNIC
3345,SANT GAJANAN MAHARAJ RURAL POLYTECHNIC
3346,INDIRA SCHOOL OF BUSINESS STUDIES
3347,GOVT POLYTECHNIC BALASORE
3348,DR MAHALINGAM COLLEGE OF ENGINEERING AND TECHNOLOGY
3349,DR MAHALINGAM COLLEGE OF ENGINEERING AND TECHNOLOGY
3350,DR MAHALINGAM COLLEGE OF ENGINEERING AND TECHNOLOGY
3351,DR MAHALINGAM COLLEGE OF ENGINEERING AND TECHNOLOGY
3352,DR MAHALINGAM COLLEGE OF ENGINEERING AND TECHNOLOGY
3353,GOVERNMENT POLYTECHNIC BHUBHANESWAR
